Model,Accuracy,Jaccard Index,F1-Score,Mean Absolute Error (MAE),Mean Squared Error (MSE),R2-score,LogLoss
Linear Regression,0.7221374045801526,0.0,0.0,0.2778625954198473,0.2778625954198473,-0.38477801268498935,
Decision Tree,0.7557251908396947,0.40074906367041196,0.5721925133689839,,,,
Logistic Regression,0.8366412213740458,0.5091743119266054,0.6747720364741642,,,,0.3804510672347215
SVM,0.7221374045801526,0.0,0.0,,,,
